from,to,cost
VDS0005,VDS0005,0.0
VDS0005,VDS0006,83.24625445
VDS0005,VDS0007,4871.528851
VDS0005,VDS0008,5106.622848
VDS0005,VDS0009,10340.18107
VDS0005,VDS0010,10393.35628
VDS0005,VDS0011,6530.721031
VDS0005,VDS0012,6560.29338
VDS0005,VDS0013,9338.391101
VDS0005,VDS0014,9240.974865
VDS0005,VDS0015,7012.432233
VDS0005,VDS0016,7221.603237
VDS0005,VDS0017,5909.406026
VDS0005,VDS0018,6757.088059
VDS0005,VDS0019,6973.143844
VDS0005,VDS0020,8210.949998
VDS0005,VDS0021,8053.603341
VDS0005,VDS0022,5884.535107
VDS0005,VDS0023,5914.011598
VDS0005,VDS0024,6524.728943
VDS0005,VDS0025,6705.887173
VDS0005,VDS0026,8435.550411
VDS0005,VDS0027,8085.271557
VDS0005,VDS0028,11285.4911
VDS0005,VDS0029,10292.94095
VDS0005,VDS0030,9618.089102
VDS0005,VDS0031,9626.965573
VDS0005,VDS0032,11583.18056
VDS0005,VDS0033,11691.33078
VDS0005,VDS0034,10426.73134
VDS0005,VDS0035,10445.49811
VDS0005,VDS0036,11816.42061
VDS0005,VDS0037,11881.11015
VDS0005,VDS0038,13442.74209
VDS0005,VDS0039,13498.18401
VDS0005,VDS0040,14098.34092
VDS0005,VDS0041,9249.515325
VDS0005,VDS0042,9318.651725
VDS0005,VDS0043,10097.0421
VDS0005,VDS0044,10145.22767
VDS0005,VDS0045,8893.761501
VDS0005,VDS0046,8705.766912
VDS0005,VDS0047,11390.45521
VDS0005,VDS0048,11332.88885
VDS0005,VDS0049,12285.39271
VDS0005,VDS0050,12323.03294
VDS0005,VDS0051,15059.27202
VDS0005,VDS0052,15136.87262
VDS0005,VDS0053,15633.52452
VDS0005,VDS0054,15627.81974
VDS0005,VDS0059,6816.533184
VDS0005,VDS0060,6781.04034
VDS0005,VDS0063,10371.55985
VDS0005,VDS0064,10344.55727
VDS0005,VDS0065,11372.1065
VDS0005,VDS0066,11413.90798
VDS0005,VDS0067,12744.03436
VDS0005,VDS0068,12572.8985
VDS0005,VDS0069,12639.18785
VDS0005,VDS0070,13440.68489
VDS0005,VDS0071,12933.4323
VDS0005,VDS0072,12937.32899
VDS0005,VDS0073,15389.98637
VDS0005,VDS0074,15159.32396
VDS0005,VDS0075,14146.66999
VDS0005,VDS0076,14185.13273
VDS0005,VDS0077,13658.88398
VDS0005,VDS0078,11262.49315
VDS0005,VDS0079,11899.42968
VDS0005,VDS0080,11928.76501
VDS0005,VDS0081,12368.88699
VDS0005,VDS0082,12321.06734
VDS0005,VDS0083,13210.88904
VDS0005,VDS0084,11000.69242
VDS0005,VDS0085,10969.28081
VDS0005,VDS0086,10499.29427
VDS0005,VDS0087,7687.875336
VDS0005,VDS0088,6573.471929
VDS0005,VDS0089,8755.623541
VDS0005,VDS0090,8593.034322
VDS0005,VDS0091,8620.38511
VDS0005,VDS0092,5739.770951
VDS0005,VDS0093,4082.399545
VDS0005,VDS0094,4122.122566
VDS0005,VDS0095,2452.061191
VDS0005,VDS0096,2467.786061
VDS0005,VDS0097,3033.76282
VDS0005,VDS0098,2998.286643
VDS0005,VDS0099,3677.826899
VDS0005,VDS0100,3595.85491
VDS0005,VDS0101,5882.408055
VDS0005,VDS0102,5935.520008
VDS0005,VDS0103,6385.91307
VDS0005,VDS0104,6419.977924
VDS0005,VDS0105,6553.730665
VDS0005,VDS0107,7804.82494
VDS0005,VDS0108,7821.645822
VDS0005,VDS0109,7929.632289
VDS0005,VDS0110,7970.558396
VDS0005,VDS0112,8970.987552
VDS0005,VDS0113,8995.206606
VDS0005,VDS0116,4579.694784
VDS0005,VDS0117,4550.681456
VDS0005,VDS0118,17461.23619
VDS0006,VDS0005,83.24625445
VDS0006,VDS0006,0.0
VDS0006,VDS0007,4794.390861
VDS0006,VDS0008,5030.037218
VDS0006,VDS0009,10265.21121
VDS0006,VDS0010,10318.6602
VDS0006,VDS0011,6447.903715
VDS0006,VDS0012,6477.616621
VDS0006,VDS0013,9256.944901
VDS0006,VDS0014,9159.692603
VDS0006,VDS0015,6930.882939
VDS0006,VDS0016,7140.707852
VDS0006,VDS0017,5834.123678
VDS0006,VDS0018,6677.627267
VDS0006,VDS0019,6893.475652
VDS0006,VDS0020,8129.176085
VDS0006,VDS0021,7972.242089
VDS0006,VDS0022,5813.225289
VDS0006,VDS0023,5843.030923
VDS0006,VDS0024,6450.423746
VDS0006,VDS0025,6631.363428
VDS0006,VDS0026,8355.884103
VDS0006,VDS0027,8005.995663
VDS0006,VDS0028,11202.81418
VDS0006,VDS0029,10210.90621
VDS0006,VDS0030,9537.752061
VDS0006,VDS0031,9546.395648
VDS0006,VDS0032,11502.87025
VDS0006,VDS0033,11610.97364
VDS0006,VDS0034,10352.0684
VDS0006,VDS0035,10370.58312
VDS0006,VDS0036,11736.94612
VDS0006,VDS0037,11801.66448
VDS0006,VDS0038,13362.28266
VDS0006,VDS0039,13417.71071
VDS0006,VDS0040,14017.54865
VDS0006,VDS0041,9184.085308
VDS0006,VDS0042,9253.125894
VDS0006,VDS0043,10029.40403
VDS0006,VDS0044,10077.47437
VDS0006,VDS0045,8868.263748
VDS0006,VDS0046,8679.673848
VDS0006,VDS0047,11329.14342
VDS0006,VDS0048,11270.47017
VDS0006,VDS0049,12217.77086
VDS0006,VDS0050,12255.44141
VDS0006,VDS0051,14982.43237
VDS0006,VDS0052,15060.29153
VDS0006,VDS0053,15557.35394
VDS0006,VDS0054,15551.62739
VDS0006,VDS0059,6745.481284
VDS0006,VDS0060,6709.210957
VDS0006,VDS0063,10288.31932
VDS0006,VDS0064,10261.32426
VDS0006,VDS0065,11288.9459
VDS0006,VDS0066,11330.73953
VDS0006,VDS0067,12660.85692
VDS0006,VDS0068,12490.87279
VDS0006,VDS0069,12557.21643
VDS0006,VDS0070,13358.78267
VDS0006,VDS0071,12853.87597
VDS0006,VDS0072,12857.69164
VDS0006,VDS0073,15311.28087
VDS0006,VDS0074,15080.76677
VDS0006,VDS0075,14069.27231
VDS0006,VDS0076,14107.7778
VDS0006,VDS0077,13581.45947
VDS0006,VDS0078,11184.10401
VDS0006,VDS0079,11824.85266
VDS0006,VDS0080,11854.33766
VDS0006,VDS0081,12295.36007
VDS0006,VDS0082,12247.51479
VDS0006,VDS0083,13142.78666
VDS0006,VDS0084,10929.5296
VDS0006,VDS0085,10897.86154
VDS0006,VDS0086,10427.1735
VDS0006,VDS0087,7616.464291
VDS0006,VDS0088,6493.738349
VDS0006,VDS0089,8672.630864
VDS0006,VDS0090,8518.597547
VDS0006,VDS0091,8546.332601
VDS0006,VDS0092,5658.747603
VDS0006,VDS0093,3999.444917
VDS0006,VDS0094,4039.281518
VDS0006,VDS0095,2408.478494
VDS0006,VDS0096,2422.794876
VDS0006,VDS0097,2976.499876
VDS0006,VDS0098,2939.487411
VDS0006,VDS0099,3635.317973
VDS0006,VDS0100,3552.903408
VDS0006,VDS0101,5833.599317
VDS0006,VDS0102,5886.510077
VDS0006,VDS0103,6326.152434
VDS0006,VDS0104,6360.587408
VDS0006,VDS0105,6500.381672
VDS0006,VDS0107,7748.541607
VDS0006,VDS0108,7765.160182
VDS0006,VDS0109,7878.303206
VDS0006,VDS0110,7919.388791
VDS0006,VDS0112,8919.737259
VDS0006,VDS0113,8943.81539
VDS0006,VDS0116,4587.858831
VDS0006,VDS0117,4558.205335
VDS0006,VDS0118,17378.19269
VDS0007,VDS0005,4871.528851
VDS0007,VDS0006,4794.390861
VDS0007,VDS0007,0.0
VDS0007,VDS0008,250.4267455
VDS0007,VDS0009,5488.491533
VDS0007,VDS0010,5546.323724
VDS0007,VDS0011,2292.234221
VDS0007,VDS0012,2258.085298
VDS0007,VDS0013,4619.500079
VDS0007,VDS0014,4508.128096
VDS0007,VDS0015,3985.05986
VDS0007,VDS0016,4310.61125
VDS0007,VDS0017,4402.511231
VDS0007,VDS0018,4281.160588
VDS0007,VDS0019,4393.769785
VDS0007,VDS0020,4876.904109
VDS0007,VDS0021,4856.111659
VDS0007,VDS0022,4863.950339
VDS0007,VDS0023,4917.416651
VDS0007,VDS0024,4920.266164
VDS0007,VDS0025,5015.623559
VDS0007,VDS0026,5543.695281
VDS0007,VDS0027,5327.865228
VDS0007,VDS0028,7384.962239
VDS0007,VDS0029,6656.230733
VDS0007,VDS0030,6436.362616
VDS0007,VDS0031,6396.894572
VDS0007,VDS0032,8240.151436
VDS0007,VDS0033,8332.512354
VDS0007,VDS0034,8033.325844
VDS0007,VDS0035,8017.835643
VDS0007,VDS0036,8607.155799
VDS0007,VDS0037,8672.510353
VDS0007,VDS0038,9972.875076
VDS0007,VDS0039,10023.38375
VDS0007,VDS0040,10540.17597
VDS0007,VDS0041,8008.116016
VDS0007,VDS0042,8058.033865
VDS0007,VDS0043,8527.05308
VDS0007,VDS0044,8557.853963
VDS0007,VDS0045,10420.53248
VDS0007,VDS0046,10223.17268
VDS0007,VDS0047,10265.92449
VDS0007,VDS0048,10117.31764
VDS0007,VDS0049,10501.78908
VDS0007,VDS0050,10539.46116
VDS0007,VDS0051,12074.77088
VDS0007,VDS0052,12183.25438
VDS0007,VDS0053,12713.36841
VDS0007,VDS0054,12705.11051
VDS0007,VDS0059,5508.260104
VDS0007,VDS0060,5395.82718
VDS0007,VDS0063,6163.561259
VDS0007,VDS0064,6157.136695
VDS0007,VDS0065,7226.758649
VDS0007,VDS0066,7260.196264
VDS0007,VDS0067,8538.637277
VDS0007,VDS0068,8807.789616
VDS0007,VDS0069,8885.025332
VDS0007,VDS0070,9671.908835
VDS0007,VDS0071,9645.40966
VDS0007,VDS0072,9635.514523
VDS0007,VDS0073,12131.80246
VDS0007,VDS0074,11931.34629
VDS0007,VDS0075,11125.96115
VDS0007,VDS0076,11168.57063
VDS0007,VDS0077,10657.90724
VDS0007,VDS0078,8269.787528
VDS0007,VDS0079,9383.013582
VDS0007,VDS0080,9428.593925
VDS0007,VDS0081,9944.558092
VDS0007,VDS0082,9897.16593
VDS0007,VDS0083,11312.57573
VDS0007,VDS0084,8961.679428
VDS0007,VDS0085,8904.962047
VDS0007,VDS0086,8404.497867
VDS0007,VDS0087,6116.410751
VDS0007,VDS0088,4101.154685
VDS0007,VDS0089,4360.218814
VDS0007,VDS0090,3757.129376
VDS0007,VDS0091,3793.889853
VDS0007,VDS0092,1183.691292
VDS0007,VDS0093,2201.803418
VDS0007,VDS0094,2258.120921
VDS0007,VDS0095,5038.847681
VDS0007,VDS0096,4997.429967
VDS0007,VDS0097,4668.879444
VDS0007,VDS0098,4585.335388
VDS0007,VDS0099,5606.004277
VDS0007,VDS0100,5544.41469
VDS0007,VDS0101,6644.887021
VDS0007,VDS0102,6670.116296
VDS0007,VDS0103,6242.422866
VDS0007,VDS0104,6295.323143
VDS0007,VDS0105,6833.916694
VDS0007,VDS0107,7587.032552
VDS0007,VDS0108,7585.111264
VDS0007,VDS0109,8049.342647
VDS0007,VDS0110,8093.961549
VDS0007,VDS0112,8925.634336
VDS0007,VDS0113,8936.238823
VDS0007,VDS0116,8060.397827
VDS0007,VDS0117,8016.760292
VDS0007,VDS0118,13250.53216
VDS0008,VDS0005,5106.622848
VDS0008,VDS0006,5030.037218
VDS0008,VDS0007,250.4267455
VDS0008,VDS0008,0.0
VDS0008,VDS0009,5245.362686
VDS0008,VDS0010,5302.388672
VDS0008,VDS0011,2231.614569
VDS0008,VDS0012,2186.984803
VDS0008,VDS0013,4434.26824
VDS0008,VDS0014,4320.466846
VDS0008,VDS0015,4020.675929
VDS0008,VDS0016,4348.701076
VDS0008,VDS0017,4538.98442
VDS0008,VDS0018,4355.629128
VDS0008,VDS0019,4457.437648
VDS0008,VDS0020,4865.374348
VDS0008,VDS0021,4857.698945
VDS0008,VDS0022,5016.190965
VDS0008,VDS0023,5069.762541
VDS0008,VDS0024,5039.223315
VDS0008,VDS0025,5127.47258
VDS0008,VDS0026,5560.907904
VDS0008,VDS0027,5359.235806
VDS0008,VDS0028,7293.336004
VDS0008,VDS0029,6595.365284
VDS0008,VDS0030,6418.50488
VDS0008,VDS0031,6375.28634
VDS0008,VDS0032,8194.588659
VDS0008,VDS0033,8285.077866
VDS0008,VDS0034,8061.219858
VDS0008,VDS0035,8043.493666
VDS0008,VDS0036,8570.454264
VDS0008,VDS0037,8635.489671
VDS0008,VDS0038,9908.295109
VDS0008,VDS0039,9958.195346
VDS0008,VDS0040,10466.12514
VDS0008,VDS0041,8106.65373
VDS0008,VDS0042,8155.102833
VDS0008,VDS0043,8602.997549
VDS0008,VDS0044,8632.559531
VDS0008,VDS0045,10619.69846
VDS0008,VDS0046,10422.78865
VDS0008,VDS0047,10355.46552
VDS0008,VDS0048,10202.79716
VDS0008,VDS0049,10553.03936
VDS0008,VDS0050,10590.52515
VDS0008,VDS0051,12040.45673
VDS0008,VDS0052,12150.83709
VDS0008,VDS0053,12681.74681
VDS0008,VDS0054,12673.33066
VDS0008,VDS0059,5633.196079
VDS0008,VDS0060,5518.42054
VDS0008,VDS0063,6045.667047
VDS0008,VDS0064,6041.727248
VDS0008,VDS0065,7110.172753
VDS0008,VDS0066,7142.522082
VDS0008,VDS0067,8410.179287
VDS0008,VDS0068,8722.162003
VDS0008,VDS0069,8800.072623
VDS0008,VDS0070,9582.520385
VDS0008,VDS0071,9597.089219
VDS0008,VDS0072,9586.127774
VDS0008,VDS0073,12076.85217
VDS0008,VDS0074,11879.3068
VDS0008,VDS0075,11092.23677
VDS0008,VDS0076,11134.99685
VDS0008,VDS0077,10627.455
VDS0008,VDS0078,8252.288685
VDS0008,VDS0079,9393.406278
VDS0008,VDS0080,9439.843287
VDS0008,VDS0081,9958.153277
VDS0008,VDS0082,9911.037012
VDS0008,VDS0083,11353.17598
VDS0008,VDS0084,9006.169929
VDS0008,VDS0085,8948.229005
VDS0008,VDS0086,8449.360924
VDS0008,VDS0087,6217.010336
VDS0008,VDS0088,4180.575347
VDS0008,VDS0089,4231.612504
VDS0008,VDS0090,3510.899437
VDS0008,VDS0091,3546.672095
VDS0008,VDS0092,1114.40633
VDS0008,VDS0093,2409.816479
VDS0008,VDS0094,2463.24172
VDS0008,VDS0095,5286.991796
VDS0008,VDS0096,5245.375893
VDS0008,VDS0097,4909.68398
VDS0008,VDS0098,4826.374262
VDS0008,VDS0099,5842.406103
VDS0008,VDS0100,5781.664486
VDS0008,VDS0101,6842.892241
VDS0008,VDS0102,6866.978772
VDS0008,VDS0103,6411.994294
VDS0008,VDS0104,6465.003443
VDS0008,VDS0105,7013.330627
VDS0008,VDS0107,7739.155248
VDS0008,VDS0108,7736.4386
VDS0008,VDS0109,8211.704102
VDS0008,VDS0110,8256.126881
VDS0008,VDS0112,9074.871735
VDS0008,VDS0113,9084.824974
VDS0008,VDS0116,8307.311354
VDS0008,VDS0117,8263.601245
VDS0008,VDS0118,13111.34767
VDS0009,VDS0005,10340.18107
VDS0009,VDS0006,10265.21121
VDS0009,VDS0007,5488.491533
VDS0009,VDS0008,5245.362686
VDS0009,VDS0009,0.0
VDS0009,VDS0010,94.10556024
VDS0009,VDS0011,4750.083058
VDS0009,VDS0012,4656.240667
VDS0009,VDS0013,2561.890371
VDS0009,VDS0014,2509.206785
VDS0009,VDS0015,6368.563881
VDS0009,VDS0016,6587.546476
VDS0009,VDS0017,8033.235982
VDS0009,VDS0018,7086.644876
VDS0009,VDS0019,7006.893677
VDS0009,VDS0020,6137.462231
VDS0009,VDS0021,6341.250812
VDS0009,VDS0022,8626.110098
