date,open,high,low,close,5ma,20ma,60ma,120ma,trading
2007-07-20,"8,451","9,719","7,659","9,719",,,,,"2,737,972"
2007-07-23,"10,247","11,172","10,168","11,172",,,,,"620,984"
2007-07-24,"12,836","12,836","11,172","11,621",,,,,"2,009,321"
2007-07-25,"11,357","12,149","10,511","11,145",,,,,"1,076,736"
2007-07-26,"11,726","12,809","11,436","12,413","11,214.00",,,,"1,623,524"
2007-07-27,"12,202","12,809","10,564","10,934","11,457.00",,,,"853,083"
2007-07-30,"10,564","10,828","10,010","10,564","11,335.40",,,,"416,450"
2007-07-31,"10,617","11,040","10,195","10,247","11,060.60",,,,"342,662"
2007-08-01,"10,036","10,591","8,716","8,821","10,595.80",,,,"528,552"
2007-08-02,"9,191","9,349","8,055","8,716","9,856.40",,,,"402,079"
2007-08-03,"8,953","9,772","8,583","9,138","9,497.20",,,,"511,576"
2007-08-06,"8,742","8,953","7,791","7,791","8,942.60",,,,"979,700"
2007-08-07,"7,923","8,029","6,656","6,840","8,261.20",,,,"1,774,296"
2007-08-08,"6,867","7,263","6,761","6,814","7,859.80",,,,"580,300"
2007-08-09,"7,157","7,818","7,104","7,818","7,680.20",,,,"576,752"
2007-08-10,"8,187","8,980","8,108","8,980","7,648.60",,,,"1,756,265"
2007-08-13,"9,402","9,640","8,214","8,346","7,759.60",,,,"1,293,915"
2007-08-14,"8,583","9,085","7,553","7,606","7,912.80",,,,"916,519"
2007-08-16,"7,078","7,184","6,471","6,471","7,844.20",,,,"443,767"
2007-08-17,"6,233","6,523","5,520","5,678","7,416.20","9,041.70",,,"710,279"
2007-08-20,"6,022","6,523","5,969","6,523","6,924.80","8,881.90",,,"746,973"
2007-08-21,"6,444","6,867","6,180","6,603","6,576.20","8,653.45",,,"880,934"
2007-08-22,"6,576","6,761","6,418","6,444","6,343.80","8,394.60",,,"366,573"
2007-08-23,"6,761","7,395","6,629","7,395","6,528.60","8,207.10",,,"1,388,818"
2007-08-24,"7,527","7,738","7,052","7,395","6,872.00","7,956.20",,,"1,077,329"
2007-08-27,"7,606","7,712","7,289","7,369","7,041.20","7,777.95",,,"604,143"
2007-08-28,"7,527","8,082","7,237","7,237","7,168.00","7,611.60",,,"1,046,041"
2007-08-29,"6,814","7,025","6,576","6,946","7,268.40","7,446.55",,,"727,059"
2007-08-30,"7,184","7,448","6,920","7,104","7,210.20","7,360.70",,,"505,944"
2007-08-31,"7,184","7,659","7,184","7,289","7,189.00","7,289.35",,,"486,910"
2007-09-03,"7,474","7,818","7,369","7,686","7,252.40","7,216.75",,,"389,959"
2007-09-04,"7,633","7,633","7,316","7,342","7,273.40","7,194.30",,,"244,030"
2007-09-05,"7,474","7,501","6,840","6,867","7,257.60","7,195.65",,,"359,583"
2007-09-06,"6,920","6,920","6,497","6,708","7,178.40","7,190.35",,,"299,556"
2007-09-07,"6,840","7,052","6,708","6,840","7,088.60","7,141.45",,,"350,310"
2007-09-10,"6,603","6,603","6,286","6,286","6,808.60","7,006.75",,,"417,175"
