f4_0,f4_1,f4_2,f4_3,label
0.0,1.7503647,0.0,3.8904002,2
0.0,4.2666707,2.1960177,3.701098,1
0.0,1.467899,1.7549297,2.91964,2
0.0,3.0576115,3.5810301,3.1309798,1
0.236336,5.960527,2.6195953,4.7804112,0
1.315712,8.5931425,3.0741022,6.105073,0
0.0,5.306053,3.7731044,3.4013808,1
0.7311929,1.8026357,0.0,4.209012,2
1.2570513,7.5014853,2.3571343,5.5347347,0
0.0,4.021103,1.4107275,3.169436,1
0.0,0.6856895,0.0,3.692524,2
2.9114313,8.990753,2.5373025,6.256397,0
0.0,0.63870364,1.0590229,4.2156587,2
0.68190455,5.9659786,1.6447489,4.60788,0
0.016693033,0.5210882,0.0,4.3993673,2
0.0,4.434904,3.0995667,2.9572182,1
1.4697024,8.174423,2.5872607,5.972066,0
0.0,4.3751564,3.6445231,3.0258498,1
0.0,4.882104,2.624665,3.6893034,1
1.659671,8.1113205,3.2061167,6.331401,0
1.1109315,8.128943,2.897851,5.3753076,0
0.0,5.4628177,4.0926337,3.2077384,1
2.6751413,8.417732,2.1937325,6.067691,0
1.3883021,8.271648,2.912703,6.2065887,0
0.0,5.948614,2.56887,4.3600125,0
0.0,5.1313953,3.872356,3.049049,1
1.7426176,6.749281,2.250258,4.748272,0
0.0,3.3658159,3.3683422,2.766706,1
0.0,5.8438835,4.1676297,3.724443,1
2.1050658,8.315281,2.3762133,5.67082,0
0.0,0.16976279,0.0,4.4914603,2
1.538035,6.991509,2.2970748,5.3017254,0
0.0,0.43429604,0.6721309,3.2669082,2
1.6171608,6.865946,1.3463409,5.1597614,0
0.0,0.66504556,0.0,4.2921133,2
0.0,0.4593822,0.0,3.365338,2
0.0,0.4476345,0.38955492,4.0932918,2
0.5995687,6.7268806,2.333747,5.2023444,0
0.31275797,7.55367,2.639624,5.176901,0
0.0,0.5279777,0.0,4.235896,2
0.0,0.4121526,0.0,3.3423414,2
1.1856552,7.7753,2.7593284,5.755599,0
0.0,0.54632705,0.0,3.308108,2
2.7773046,9.773445,3.102553,6.862378,0
0.0,4.0540724,0.9280177,3.7105207,0
0.0,3.3702903,3.6271386,2.871594,1
0.0,0.5825856,0.6953935,4.1265273,2
0.0,6.6282287,2.8517442,5.0247564,0
0.0,0.6371728,0.8238398,3.39902,2
0.9343089,8.101234,2.890952,6.051111,0
1.6096742,7.237955,2.3675625,5.2037444,0
1.7404929,8.767596,3.0996556,6.4264936,0
0.0,2.1955745,2.0024722,2.3729994,1
0.0,2.5645547,2.703178,2.8039515,1
2.04279,8.292725,2.8620377,6.397448,0
0.0,0.549048,0.02896148,2.4902496,2
0.0,0.29681796,0.99697,4.417622,2
1.8522431,8.0599785,1.9756736,5.828109,0
0.0,5.133639,3.8815742,3.3171601,1
2.0091238,8.118996,2.8224523,5.4232244,0
1.542353,7.877303,2.8442705,6.1529646,0
0.0,4.1194177,3.9522402,3.046358,1
1.7612697,8.957455,3.028256,6.3090043,0
