date	price	flu_range	flu_price	flu_rate	trading	persion	foreigen	orig	prog	fin_fiv	insurance	inv_trust	samo	bank	etc_bank	yeonkikum	nationa	etc1	etc2
2023-03-27	"265,500"	6	"4,500"	1.72%	"1,621,550"	"54,423"	"-59,644"	"10,444"	"-56,214"	"10,082"	"1,198"	"7,175"	"-16,256"	2	1	"8,242"	0	"-5,964"	741
2023-03-28	"265,500"	5	0	0.00%	"858,516"	"123,528"	"-115,936"	"-6,132"	"-109,666"	"20,301"	"2,036"	"8,292"	"-15,232"	-326	1	"-21,204"	0	"-2,140"	680
2023-03-29	"266,000"	6	500	0.19%	"808,472"	"141,049"	"-153,156"	"13,096"	"-136,407"	"38,233"	"2,752"	"9,748"	"-16,449"	"1,054"	-529	"-21,713"	0	"-2,210"	"1,221"
2023-03-30	"261,500"	4	"-4,500"	-1.69%	"916,414"	"272,582"	"-200,999"	"-70,891"	"-207,477"	"-20,006"	"2,453"	"10,939"	"-41,371"	"3,527"	-529	"-25,904"	0	"-2,538"	"1,846"
2023-03-31	"272,500"	6	"11,000"	4.21%	"1,884,239"	"-51,155"	"94,511"	"-35,983"	"82,918"	-861	"6,474"	"15,338"	"-6,080"	"3,492"	-490	"-53,856"	0	"-8,388"	"1,015"
2023-04-03	"288,500"	6	"16,000"	5.87%	"1,638,721"	"-10,770"	"47,733"	"-29,475"	"85,119"	"-26,422"	"9,673"	"33,195"	"-6,564"	"3,314"	-489	"-42,182"	0	"-8,299"	811
2023-04-04	"283,000"	4	"-5,500"	-1.91%	"1,459,277"	"-1,311"	"90,398"	"-85,546"	"91,513"	"-3,508"	"11,316"	"32,332"	"-48,429"	"3,298"	-598	"-79,957"	0	"-3,845"	304
2023-04-05	"291,500"	6	"8,500"	3.00%	"816,783"	"-10,023"	"71,233"	"-63,239"	"52,753"	"6,611"	"14,804"	"29,460"	"-52,990"	"3,283"	-598	"-63,809"	0	860	"1,169"
2023-04-06	"292,500"	6	"1,000"	0.34%	"713,556"	"-4,171"	"29,470"	"-38,568"	"21,435"	"6,135"	"14,921"	"30,184"	"-52,667"	"3,268"	-532	"-39,877"	0	"11,642"	"1,627"
2023-04-07	"296,000"	6	"3,500"	1.20%	"839,635"	"-32,813"	"79,049"	"-57,605"	"51,385"	"3,209"	"18,086"	"24,094"	"-60,690"	"3,281"	-532	"-45,053"	0	"12,343"	-974
2023-04-10	"305,000"	6	"9,000"	3.04%	"1,742,709"	"-34,667"	"132,145"	"-113,079"	"70,333"	"-55,681"	"21,461"	"30,275"	"-78,361"	"2,421"	-617	"-32,577"	0	"16,284"	-683
2023-04-11	"310,000"	6	"5,000"	1.64%	"1,305,019"	"-55,387"	"155,312"	"-107,270"	"89,797"	"-38,159"	"19,554"	"30,775"	"-85,190"	"2,351"	-777	"-35,824"	0	"7,701"	-356
