id,cultivation,color,brix,brix_after,sunlight,weight,status
1,일반,빨강,9.0,8.53,8.24,175.1,완판
2,일반,빨강,10.3,9.15,7.71,188.2,완판
3,일반,빨강,7.93,8.75,6.17,149.8,재고
4,일반,빨강,10.82,9.56,6.97,190.8,완판
5,일반,빨강,11.43,11.21,8.05,170.8,재고
6,일반,빨강,9.43,9.66,6.78,176.1,재고
7,일반,빨강,10.54,10.77,9.08,176.0,완판
8,일반,빨강,10.31,10.71,8.08,180.1,완판
9,일반,빨강,9.51,9.39,5.4,180.4,완판
10,일반,빨강,8.92,8.17,7.92,168.7,재고
11,일반,빨강,7.46,6.86,3.61,148.7,재고
12,일반,빨강,11.76,11.13,9.37,196.7,완판
13,일반,빨강,9.94,10.71,5.32,188.7,완판
14,일반,빨강,13.15,13.85,8.68,202.1,재고
15,일반,빨강,11.03,9.85,8.34,193.6,완판
16,일반,빨강,10.35,9.52,7.24,155.9,재고
17,일반,빨강,9.18,7.62,5.65,170.9,재고
18,일반,빨강,11.74,10.76,9.08,184.0,재고
19,일반,빨강,9.37,9.73,5.13,147.7,완판
20,일반,빨강,11.96,10.94,6.74,188.0,완판
21,일반,빨강,9.5,8.88,8.08,172.0,완판
22,일반,빨강,10.23,9.85,6.4,158.3,재고
23,일반,빨강,8.1,8.34,6.33,153.4,재고
24,일반,빨강,12.93,12.68,9.3,193.5,재고
25,일반,빨강,9.88,9.72,6.91,181.5,완판
26,일반,빨강,9.52,8.73,7.08,180.5,재고
27,일반,빨강,11.01,10.69,7.7,167.8,재고
28,일반,빨강,8.89,7.68,6.7,155.3,재고
29,일반,빨강,10.96,11.17,8.64,174.6,완판
30,일반,빨강,8.54,8.0,7.18,165.6,완판
31,일반,빨강,10.68,10.13,7.71,172.1,완판
32,일반,빨강,8.69,8.96,7.24,164.8,재고
33,일반,빨강,7.7,8.16,5.41,169.7,재고
34,일반,빨강,9.26,8.4,6.0,178.7,재고
35,일반,빨강,8.17,7.61,5.22,165.6,재고
36,스테비아,노랑,11.29,11.14,8.44,169.0,완판
37,스테비아,노랑,10.63,10.14,8.87,172.8,완판
38,스테비아,노랑,11.24,11.39,7.78,189.1,완판
39,스테비아,노랑,10.71,10.32,5.63,189.7,재고
40,스테비아,노랑,10.16,10.27,6.69,188.6,완판
41,스테비아,노랑,10.64,10.27,7.82,166.0,재고
42,스테비아,노랑,11.92,11.07,8.32,180.9,완판
43,스테비아,노랑,10.37,10.32,7.35,162.6,재고
44,스테비아,노랑,9.65,8.89,7.79,137.5,완판
45,스테비아,노랑,9.39,9.76,7.6,158.2,완판
46,스테비아,노랑,10.32,10.25,6.01,155.6,완판
47,스테비아,노랑,9.66,10.23,7.3,189.6,완판
48,스테비아,노랑,12.95,12.76,7.9,198.3,완판
49,스테비아,노랑,9.13,8.83,6.84,162.0,완판
50,스테비아,노랑,9.25,9.12,7.82,171.2,완판
51,스테비아,노랑,10.22,10.13,8.85,181.2,완판
52,스테비아,노랑,11.41,10.36,8.43,204.4,완판
53,스테비아,노랑,10.26,9.16,6.74,185.9,재고
54,스테비아,노랑,9.4,9.88,6.45,189.7,재고
55,스테비아,노랑,9.59,8.64,7.35,178.4,완판
56,스테비아,노랑,10.16,10.95,6.25,191.6,재고
57,스테비아,노랑,11.82,12.01,7.93,203.2,완판
58,스테비아,노랑,9.38,9.23,7.31,182.4,재고
59,스테비아,노랑,10.49,10.17,8.16,178.3,완판
60,스테비아,노랑,9.83,10.21,6.71,187.2,완판
61,스테비아,노랑,11.01,11.19,7.92,176.3,완판
