ToVol,OccRate,Speed,HeavyRatio,label
43,1.9,50.3,0.0,0
45,1.84,58.9,0.0,0
46,1.87,50.6,0.0,0
45,1.72,50.9,0.0,0
27,1.12,62.2,0.037,0
30,1.17,63.5,0.0,0
27,0.99,73.6,0.037,0
40,1.76,52.7,0.0,0
31,1.24,59.9,0.0,0
38,1.49,59.1,0.0,0
39,1.84,54.5,0.0,0
38,1.42,50.6,0.0,0
27,1.18,50.8,0.0,0
28,1.07,65.0,0.0,0
35,1.52,58.1,0.0,0
26,1.03,59.3,0.0,0
27,1.08,53.2,0.0,0
15,0.63,59.4,0.0,0
24,1.08,55.7,0.0,0
21,0.9,54.7,0.0,0
18,0.59,63.0,0.0,0
24,1.04,58.2,0.0,0
22,0.94,63.4,0.0,0
28,1.15,57.6,0.0,0
29,1.2,58.2,0.0,0
23,1.11,56.2,0.0,0
30,1.58,60.8,0.0,0
18,0.71,61.1,0.0,0
15,0.66,55.9,0.0,0
16,0.66,51.5,0.0,0
21,0.76,60.9,0.0,0
13,0.49,69.5,0.0,0
17,0.72,61.3,0.0,0
15,0.52,66.6,0.0,0
21,0.88,55.4,0.0,0
20,0.74,54.2,0.0,0
15,0.65,64.6,0.0,0
13,0.58,61.8,0.0,0
21,0.81,61.8,0.0,0
14,0.63,57.8,0.0,0
14,0.48,64.9,0.0,0
22,0.84,63.2,0.0,0
13,0.59,57.2,0.0,0
14,0.6,57.5,0.0714,0
20,0.81,60.0,0.0,0
13,0.59,61.6,0.0,0
19,0.82,61.5,0.0,0
11,0.43,64.0,0.0,0
24,1.04,61.5,0.0,0
15,0.55,62.5,0.0,0
19,0.87,71.3,0.0,0
21,0.84,57.2,0.0,0
23,0.83,48.9,0.0,0
18,0.8,55.6,0.0,0
26,1.02,58.8,0.0,0
20,0.75,63.6,0.0,0
25,0.98,55.9,0.0,0
21,0.9,60.1,0.0,0
20,0.78,59.6,0.0,0
19,0.91,63.4,0.0,0
23,1.06,65.9,0.0,0
30,1.33,56.7,0.0,0
22,0.82,61.4,0.0,0
25,1.03,70.3,0.04,0
34,1.45,55.2,0.0,0
29,1.03,68.6,0.0345,0
16,0.74,49.2,0.0,0
22,0.98,59.6,0.0,0
24,1.04,52.8,0.0,0
31,1.32,52.3,0.0,0
42,1.63,57.7,0.0238,0
42,1.87,57.3,0.0,0
42,1.68,58.1,0.0,0
35,1.57,59.6,0.0571,0
30,1.09,61.8,0.0333,0
47,1.72,56.3,0.0426,0
41,1.57,58.9,0.0,0
54,1.94,60.6,0.0,0
45,1.67,61.1,0.0222,0
45,1.71,63.8,0.0444,0
55,2.0,63.3,0.0182,0
61,2.69,56.7,0.0656,0
38,1.49,53.1,0.0526,0
48,2.02,55.7,0.0,0
48,1.68,63.7,0.0208,0
46,1.86,58.7,0.0652,0
67,2.52,60.7,0.0299,0
87,3.17,59.6,0.0115,0
89,3.35,59.6,0.0,1
105,4.31,55.7,0.019,0
