,Day,Hour,rho,ToVol,Speed,tfi,label
0,2017-04-03,00,0.026,19.458,58.846,0.078,Fast
1,2017-04-03,02,0.012,13.333,64.529,0.061,Fast
2,2017-04-03,04,0.053,35.042,59.033,0.145,Fast
3,2017-04-03,06,0.414,178.042,48.475,0.567,Jam
4,2017-04-03,08,0.424,190.667,47.067,0.619,Jam
5,2017-04-03,10,0.279,135.833,49.692,0.47,Slow
6,2017-04-03,12,0.282,136.0,49.196,0.466,Slow
7,2017-04-03,14,0.299,141.0,48.108,0.473,Slow
8,2017-04-03,16,0.316,146.25,47.275,0.483,Slow
9,2017-04-03,18,0.344,152.167,45.267,0.481,Slow
10,2017-04-03,20,0.214,100.458,47.312,0.331,Slow
11,2017-04-03,22,0.133,67.833,50.8,0.237,Fast
12,2017-04-04,00,0.034,23.292,56.183,0.091,Fast
13,2017-04-04,02,0.011,11.542,58.133,0.047,Fast
14,2017-04-04,04,0.05,32.0,56.992,0.127,Fast
15,2017-04-04,06,0.363,154.792,49.008,0.494,Slow
16,2017-04-04,08,0.526,195.083,40.304,0.537,Jam
17,2017-04-04,10,0.287,137.375,49.029,0.468,Slow
18,2017-04-04,12,0.295,139.042,47.962,0.465,Slow
19,2017-04-04,14,0.302,141.958,47.962,0.474,Slow
20,2017-04-04,16,0.319,147.042,47.158,0.484,Slow
21,2017-04-04,18,0.383,158.917,43.233,0.475,Slow
22,2017-04-04,20,0.244,110.625,45.942,0.355,Slow
23,2017-04-04,22,0.149,74.542,50.642,0.258,Fast
24,2017-04-05,00,0.046,30.458,57.346,0.122,Fast
25,2017-04-05,02,0.018,14.458,56.125,0.057,Fast
26,2017-04-05,04,0.046,30.792,58.879,0.126,Fast
27,2017-04-05,06,0.34,160.042,51.167,0.546,Jam
28,2017-04-05,08,0.497,194.667,42.083,0.562,Jam
29,2017-04-05,10,0.292,139.625,48.975,0.476,Slow
30,2017-04-05,12,0.282,135.708,48.962,0.463,Slow
31,2017-04-05,14,0.304,139.542,46.842,0.456,Slow
32,2017-04-05,16,0.331,144.458,44.65,0.449,Slow
33,2017-04-05,18,0.48,159.583,36.396,0.394,Slow
34,2017-04-05,20,0.224,97.917,43.979,0.301,Slow
35,2017-04-05,22,0.187,81.333,45.071,0.249,Fast
36,2017-04-06,00,0.104,49.625,50.15,0.161,Fast
37,2017-04-06,02,0.069,34.125,50.092,0.11,Fast
38,2017-04-06,04,0.095,46.5,49.379,0.153,Fast
39,2017-04-06,06,0.362,144.583,45.112,0.428,Slow
40,2017-04-06,08,0.511,199.417,42.342,0.574,Jam
41,2017-04-06,10,0.281,136.375,49.637,0.47,Slow
42,2017-04-06,12,0.308,144.792,47.954,0.484,Jam
43,2017-04-06,14,0.326,150.125,47.083,0.492,Jam
44,2017-04-06,16,0.327,151.542,47.604,0.501,Jam
45,2017-04-06,18,0.391,159.542,42.579,0.47,Slow
46,2017-04-06,20,0.255,114.542,45.633,0.364,Slow
47,2017-04-06,22,0.14,72.333,52.058,0.257,Fast
48,2017-04-07,00,0.038,26.792,59.071,0.11,Fast
49,2017-04-07,02,0.017,15.208,60.2,0.064,Fast
50,2017-04-07,04,0.053,33.625,57.654,0.134,Fast
51,2017-04-07,06,0.353,160.25,50.179,0.531,Jam
52,2017-04-07,08,0.451,195.417,45.867,0.616,Jam
53,2017-04-07,10,0.321,151.375,48.367,0.509,Jam
54,2017-04-07,12,0.337,153.458,46.675,0.499,Jam
55,2017-04-07,14,0.391,173.292,45.554,0.55,Jam
56,2017-04-07,16,0.391,168.417,44.133,0.52,Jam
57,2017-04-07,18,0.507,179.417,38.212,0.469,Slow
58,2017-04-07,20,0.298,129.458,44.275,0.4,Slow
59,2017-04-07,22,0.169,82.917,49.371,0.282,Fast
