,Date,ToVol,SmVol,MeVol,LaVol,Speed,OccRate,hour,sp3
0,2017-04-03 2:45,28,10,13,5,87.8,3.98,2,Fast
1,2017-04-17 2:45,20,7,10,3,87.5,3.61,2,Fast
2,2017-04-03 2:40,20,7,4,9,86.3,6.17,2,Fast
3,2017-04-13 3:35,8,5,3,0,84.1,0.29,3,Fast
4,2017-04-03 1:45,14,10,3,1,83.8,0.5,1,Fast
5,2017-04-10 2:45,21,9,9,3,82.9,3.68,2,Fast
6,2017-04-26 1:00,18,15,2,1,81.5,0.57,1,Fast
7,2017-04-25 1:55,16,8,8,0,81.4,0.61,1,Fast
8,2017-04-03 2:10,12,6,6,0,80.9,0.44,2,Fast
9,2017-04-09 4:25,18,13,5,0,78.4,0.73,4,Fast
10,2017-04-13 3:30,15,10,5,0,77.3,0.54,3,Fast
11,2017-04-25 2:15,8,6,2,0,76.9,0.31,2,Fast
12,2017-04-09 2:05,14,10,4,0,76.7,0.56,2,Fast
13,2017-04-26 4:05,14,10,4,0,76.3,0.56,4,Fast
14,2017-04-16 4:25,20,15,5,0,76.1,0.62,4,Fast
15,2017-04-24 2:45,13,6,7,0,75.9,0.55,2,Fast
16,2017-04-29 3:30,24,16,8,0,75.8,0.95,3,Fast
17,2017-04-09 3:20,17,7,10,0,75.7,0.64,3,Fast
18,2017-04-23 23:55,20,17,3,0,75.2,0.8,23,Fast
19,2017-04-07 3:50,16,12,4,0,75.2,0.78,3,Fast
20,2017-04-16 3:35,11,7,4,0,74.6,0.5,3,Fast
21,2017-04-03 1:30,11,5,6,0,74.3,0.44,1,Fast
22,2017-04-16 4:10,12,10,2,0,74.2,0.41,4,Fast
23,2017-04-03 2:55,9,5,4,0,73.9,0.32,2,Fast
24,2017-04-12 0:10,51,22,22,7,73.8,2.0,0,Fast
25,2017-04-15 3:15,20,10,10,0,73.8,0.72,3,Fast
26,2017-04-29 5:45,39,28,11,0,73.7,1.18,5,Fast
27,2017-04-22 5:45,35,24,11,0,73.6,1.13,5,Fast
28,2017-04-02 0:30,27,14,12,1,73.6,0.99,0,Fast
29,2017-04-20 1:30,16,11,5,0,73.6,0.6,1,Fast
30,2017-04-19 2:20,10,8,2,0,73.5,0.33,2,Fast
31,2017-04-23 4:50,12,5,7,0,73.3,0.46,4,Fast
32,2017-04-16 4:35,33,18,14,1,73.2,1.3,4,Fast
33,2017-04-29 2:00,23,13,10,0,72.9,0.86,2,Fast
34,2017-04-09 3:25,12,9,3,0,72.5,0.41,3,Fast
35,2017-04-05 5:10,25,16,9,0,72.3,1.43,5,Fast
36,2017-04-23 4:25,21,10,10,1,72.3,0.81,4,Fast
37,2017-04-07 1:10,17,13,4,0,72.1,0.75,1,Fast
38,2017-04-16 2:45,19,13,6,0,72.0,0.77,2,Fast
39,2017-04-29 5:05,31,20,11,0,71.9,1.15,5,Fast
40,2017-04-07 2:05,15,12,3,0,71.8,1.19,2,Fast
